paperID,keyword
36833670,Quantum Computing
258790926,Natural Language Processing (NLP)
258790926,Nuclear Engineering
258790926,Green Technology
258790926,Mechanical Engineering
37553840,Wind Energy
37553840,Biotechnology
37553840,Organic Chemistry
37553840,Mathematics
37553840,Geology
73431108,Nanotechnology
4286278,Green Technology
4286278,Ethical Hacking
4286278,Cybersecurity
78794320,Ethical Hacking
194216967,Environmental Science
194216967,Nanotechnology
194216967,Epidemiology
194216967,Deep Learning
194216967,Network Security
214090037,Aerospace Engineering
56555627,Botany
82089198,Geology
82089198,Zoology
82089198,Ecology
73871837,Cybersecurity
73871837,Blockchain
73871837,Automotive Engineering
73871837,Analytical Chemistry
99115501,Ecology
99115501,Computer Vision
99115501,Biomedical Science
99115501,Sustainable Development
179081275,Space Exploration
181456576,Augmented Reality (AR)
186375032,Inorganic Chemistry
199840403,Smart Cities
199840403,Paleontology
199840403,Mathematics
204079890,Astronomy
204079890,Automotive Engineering
220353019,Regenerative Medicine
220353019,Cloud Computing
220353019,Organic Chemistry
222856387,Renewable Energy
222856387,Solar Energy
222856387,Cloud Computing
222856387,Automotive Engineering
222856387,Hydroelectric Power
122599050,Mechanical Engineering
219591472,Mechanical Engineering
219591472,Internet of Things (IoT)
172709235,Green Technology
172709235,Renewable Resources
172709235,Quantum Computing
172709235,Cryptocurrency
153872722,Organic Chemistry
153872722,Blockchain
153872722,Ethical Hacking
153872722,Analytical Chemistry
264049796,Material Science
184037610,Ecology
184037610,Artificial Neural Networks
184037610,Bioinformatics
184037610,Neurobiology
184037610,Zoology
182334866,Augmented Reality (AR)
182334866,Material Science
192484922,Cloud Computing
192484922,Marine Biology
192484922,Biomedical Science
192484922,Climate Change
192484922,Analytical Chemistry
153524263,Renewable Resources
153524263,Neurobiology
153524263,Bioinformatics
153524263,Autonomous Vehicles
153524263,CRISPR
204781074,Sustainable Development
250466801,Gene Therapy
250466801,Autonomous Vehicles
250466801,Quantum Computing
160639247,Mechatronics
160639247,Quantum Biology
168204084,Botany
168204084,Biotechnology
168204084,Electrical Engineering
168204084,Regenerative Medicine
168204084,Green Technology
218155783,Natural Language Processing (NLP)
218155783,Nuclear Physics
201226435,Aerospace Engineering
201226435,Space Exploration
265930238,Virology
265930238,Particle Physics
265930238,Artificial Neural Networks
265930238,Neurobiology
238724897,Computer Vision
238724897,Electrical Engineering
238724897,Biomimicry
238724897,Proteomics
238724897,Artificial Intelligence
157228697,Organic Chemistry
157228697,Network Security
157228697,Biomechanics
157228697,Solar Energy
63344908,Paleontology
63344908,Cryptography
15616987,Chemistry
89122927,Nuclear Physics
89122927,Immunology
89122927,Genetic Engineering
89122927,Sustainable Development
161530920,Ethical Hacking
161530920,Hydroelectric Power
123594221,Automotive Engineering
123594221,Nuclear Engineering
123594221,Hydroelectric Power
242294658,Chemical Engineering
